missytati	#huurders lijken wel hoeren
NickKiran	@vincentsmit gmail en iCloud geloof ik. (Nog) geen anderen
okkerse34	@SamuelYPL goodmorning lekker geslapen?
sabien76	@Suus_Esmeijer Hier nog niet 😩...
ouwess	@cactusvrouwtje hey hey hey dat is niet waar
BeemerSander	@Koning_NL ,2, chauffeur kamer 7 chauffeurs, mijn ouders elk een, 4 elk van mijn broers en ik, 1 extra voor invallen, 14 autos voor ons,
DoNotPressNL	@jenswitte2 @RaoulJoshua het eerste wat ik zag op mn eerste keer Texel was een paard met een tering grote stijve pik
Idefix_2009	@Gerda_Groenenda voor mezelf? 😜
Jaarah_N	Kvind verhuizen zo leuk
Remonov	@MarcIsLive @xdanieIIe_ ook veilig tweeten. http://t.co/CFR62Y7N5B
BeaPS4	Dagje mee helpen op de #SundayMarket #Westergasfabriek BeRocky sneak preview vd website! http://t.co/A9UQZonUA8 http://t.co/yGp3VX0Qy3
Clauw1984	@MarloesdeKrom dan valt het hier nog mee...
pdiermen	@BenSchaafsma1 @VVIJV Ik ben bang dat het ergens in een doos op zolder ligt.
ErikHVNL	Worden er #complimenten uitgedeeld tijdens de wedstrijd VV Succes tegen VV Winkel hier in Hippolytushoef. #hvnl http://t.co/Aods5TgGv9
yencadebaene	Wauw ff dikke spam gehad.. Internet lach er ff uit😂
xDaansSushi_	@reinduif wanneer ga je me volgen? #KCA #VoteMainStreet
mathijsh	Zojuist een foto geplaatst @ Centrum Dordrecht https://t.co/VEKVLjvNp8
Jaarah_N	Maar kga Deurne toch missen 💔
NatishaISD_	Moet zometeen wel zo'n shit voor school gaan maken ughl
bartvanveenen	We hebben nu ook een praktijk-youtube account, waar we interessante uploads willen verzamelen
dennisendebbie	#matchday vandaag vol gas tegen sv oostrum in de race om 2e plek is overwinning welkom, focus en voetballen #viaoos http://t.co/GxNpY5khW8
LindaVaan	Eerste dag van de meteorologische lente. De zo'n schijnt en ik ga nog een keer snel hachee maken voor het warm wordt.
_ilaydaaax	@SamuelsQueenx Hij gaat heeeeel boos worden geloof me
JorisVDBroucke	@ArmandVervaeck Zeer ongelukkige vergelijking. Het gaat over de dienstenchequebedr die nt op vraag v klant mogen ingaan om te discrimineren
avonsdbs	@KAJVANDERVOORT Heeft Gio je al geholpen met de ding voor school?👀
SmeetsHarry	En vandaag de tweede oefenwedstrijd van Union MB2. Tegen Kromhouters uit Tiel. @Union_hockey #kromhouters http://t.co/3ASlc1olkA
ouwess	@cactusvrouwtje o hahahaha omg sorry ik had het kunnen weten eigenlijk
corne06946803	Julle speel nou rerig pragtige musiek op hierdie layed back Sunday!!😉 #Rosestad
Celinelanssens	Ik vind dat ze geen sb's mogen geven op maandag...
Fred_2574	Net interview voor het magazine "Beleef" Het groene woud gehad. Item over geocaching.
MarianneML0000	@PatrickClaesen dat komt zeker goed,,
sinemoflu18	@martdebrandt Hahahahaha ik ga u iets doorsturen wa gij is had gestuurd hahaha
SjorsNijhuis	Weer een prima #dtvk @KeesJansmaNL @RvN1776
UTCASFINEST030	S A L E !!! Vandaag zijn we open van 13:00 tot 17:00, tot straks! ☝ #utca #utje #030 #utrecht #utreg… https://t.co/C85TkbCa0M
MoeSpek	@JHoogvorst Jullie ook bedankt. Succes.
Giedieeee	Stel me een vraag en ik geef antwoord !!!
Tri3st	Kaas.. Anders geen tosti straks.. (@ Jan Linders in Eindhoven, Noord-Brabant) https://t.co/C8SuXZ2fTl
douniasstyle	Vandaag me nagels laten doen 💅🙊💫
lubokobslevrai	Jullie weten niet hoe gelukkig ik ben met een meerderjarige vriendin? Pff
Mnrdefotograaf	“@AT5: Tram 26 rijdt niet; pendelbussen tussen 'eizijde' CS en IJburg http://t.co/DQ6SGju2eI” wat een panne(n??) koek bij t gvb
BeemerSander	@Koning_NL , 2,bidetkamer, 4 badkamers met kleedkamers, 42personen messiana kijken van boven naar het zwembad, 2,
Essmeeeee__	Binnenkort me kamer Zwart/ wit verven🙌
marliessmits64	@JandeHoop nee hoor. En je tweets zijn erg leuk!
SNGSint	Sinthuis omgetoverd tot fotostudio. Wordt vervolgd in november. Hint Waar komen jullie toch vandaan. http://t.co/HPGKRnmEF6
WijnandGijzen	Bezig met artikel over digitale leermiddelen. Dat zijn niet de tablets zelf, maar dát wat ze zichtbaar maken (waarmee geleerd wordt).
MarcoDreijer	Voor het eerst in maanden op zondag vrij.. 'Wat doet men zoal op een zondag?'
StolkRichard	Jaja..... En vandaag ondanks de lichte vormcrisis toch weer ff lekker kunnen trainen! http://t.co/BnmKwk9ceU
PVansteenlandt	@LappieM waarom zouden wij Engels moeten praten?
JohnBesseling1	Geluk gehad schijnbaar bij het lopen. Lekker in het zonnetje. Nu regent het hier alweer. Dan maar binnenactiviteiten doen 😄
SvenvanderSteen	@Bparlma @Feyenoord helemaal mee eens! ;).. goals van Immers en Manu #utrFEY ;)
PrettyVDvoort	Lekker vrij morgen http://t.co/HAp2GKVnfi
ecdebeurs	Kazerne de Erfprins in Den Helder schimmelt weg http://t.co/KqIm7ySEeW #Marine via @telegraaf het is geen 5sterren verblijf zegt Defensie!
DoNotPressNL	@jenswitte2 @RaoulJoshua je kan er ook niet omheen draaien
georgelappies	@AfrIsGroot wanneer kom die kaartjies uit
oedeltje	@hulswood we worden regeerd door dictator's "spekman,samsom en http://t.co/JW8dJBBqEa vvd.
Rik3080	@SasVN Leg eerst een kussentje klaar hè, Sasje de #wtf'er! ;-)
corne06946803	@Rosestad1006fm Julle speel nou lekker musiek op hierdi layed back Sunday!!😉
HermanWellens	Wie is de racist hij die voortdurend vergelijkt tussen allochtonen en autochtonen of hij die elke Belg beoordeelt volgens eigen kunnen.
akeom	#durftevragen #dtv Help!Wie buurt Amsterdam heeft NU een IR afstandsbedening arduino? Type maakt niet uit! Dringend! http://t.co/ZbBRJtxHGp
cassius1234568	heel veel mensen stoppen met stemmen wrm @CasszRon @officialdioni @KAJVANDERVOORT @JWMUSICOFFICIAL @SamuelYPL ik blijf door gaan #votebbrave
joshua_josprijs	Omroep Gelderland - Nieuws - Mensenhandel: 4 vrouwen in een rioolbuis in Barneveld: http://t.co/V7eVbw7TRV
wickyframbroos	Waarom tweet je dan op haar telefoon dat begrijp ik niet. Privacyschending is a serious deal.
NeleMostaert	En ineens heb ik meer dan 10.000 woorden voor mijn eindwerk wauwieee
_ilaydaaax	“@SamuelsQueenx: @_ilaydaaax hoezo?” Zo is hij. Als je een boze zus wil die jullie onrespectloos gaat noemen moet je vooral gaan
Flixie_	Sommige mensen zijn echt nakkerige slijmballen
geenwietpas	ExtraTuin Hoorn ’geen growshop maar tuintechniek’ http://t.co/yzN2R6C8DU
SergioUdensio	Van mij mag #psvaja beginnen! @PSV
apeldoornmeteo	#Apeldoorn 9,4 C #zacht met enkele buien later veel #wind http://t.co/KSds3Waumw
TimelapseZwolle	#Zwolle nu: zondag 1 maart 2015 om 12:00, het is 10.1 °C #Goedemiddag http://t.co/7sGCPe1wvn
WeerInVeendam	Temp 10,5°C Gevoel:6,3°C. #Veendam : Tamelijk mooi, mogelijk eerst wat buien Min 5,3°C Max 10,6°C. Wind 24,5 km/uur NNW Luchtdr. 998,0 m
RegNieuws	Boerin uit Voorschoten wint missverkiezing in Bathmen #deventer http://t.co/NgRHuvkyoQ http://t.co/mj2VNLrL2K
gerrits10	@gwolberink @KOSC5 De wonderen zijn de wereld nog niet uit dus 😊
WEER_Oosterzee	Weatherstation-Oosterzee tijd:12:00 on 01 maart 2015 Temp:8,7C Hum:79% Bar:998,14mb rain:1,4mm Windspeed:8,0km/h Cloud base:429 m
ErikHVNL	Het was allemaal redelijk vriendelijk maar het eerste opstootje is geweest. Ben benieuwd of de scheids nog #complimenten krijgt. #hvnl
ouwess	@cactusvrouwtje kleine tiet grote tiet het is allemaal tiet en love het
DpSolena	Ardennen is altijd een goed idee @ Le Père Louis https://t.co/7kNvPOel8D
trendinaliaNL	6. Justin is 21 7. Goedemorgen 8. Amsterdam 9. Succes 10. Waar 2015/3/1 11:51 CET #trndnl2015 http://t.co/tOVVBU3TJP
gina_stanciu	En dat op ne zondag.. 💪 (@ Basic-Fit in Hoboken) https://t.co/KyZSoWmVVd
_ilaydaaax	Ik zei toch: Ik kan er niet tegen om je te muten
john11987	Wat een ramp de tv van #Ziggo nu al 23 min in de wacht !!!!! En nog geen tv 😔
Naaijkie	Cito is na WOII ingevoerd om de sociale ongelijkheid weg te nemen #onderwijs #VPRO #OVT
timvdweerden	@StijnBerkmortel Lekker bezig! ☺
RaoulvanHeese	BAM! "@Mediawijzer: Professor Van Looy/UGent: ouders moeten actieve + positieve houding aannemen als kinderen gamen. http://t.co/RxfqZKrUvp”
Zandfoort	High Tea aan de Eem. Perfecte zondagmiddag. #zandfoort #zade #zandfoortaandeeem #amersfoort @… https://t.co/VRdCLjUHIA
VBMaaike	@CharlotDv @VBMaaike kzegt u, mijn leven is een mop
lailavandijk	@SamuelYPL heb je al zin in Vestival?
Giedieeee	@Michellenieman_ ja vind ik ook
deefkecourtens	Wij zijn gek van @TeamRoompot #kbk http://t.co/wMfL55VqPv
Silviaxsu	@SamuelYPL onderweg naar @JinxVeendam zie je daar 💪😍
yencadebaene	Romane je bent echt geweldig! 😊 dankje voor de mention 😱❤️
Anne_Minc	Een gemiddelde snelheid van 6:10 tijdens het hardlopen is wind. Heel veel wind.
Hielko	Ruimte voor nieuw talent “@MTnieuws: Denkkracht verlaat Nederland: de topmanager vertrekt http://t.co/2lmO1LD9aj”
RuudKosters	@EWKleinJan ik vrees dat dit de algemene reactie zal zijn :-(
BeemerSander	@Koning_NL 2, albasten badkamer van mijn madam mamam, onyx badkamer van mijn heer papa, turksbad in hof van edentuin, fontienengalerijen, 2,
janke018	@SamuelYPL wil je alsjeblieft zo lief zijn om mij te volgen? #KCA #VoteBBrave #BraviourPower #KCA #VoteBBrave #BraviourPower :D
goossen71	Onze zoon werd even niet lekker tijdens de rondleiding. Grote complimenten voor @CORPUS voor de opvang. Bedankt! #complimentendag
ErikHVNL	Voor de zekerheid hebben we de scheidsrechter een zendertje gegeven. 😜#hvnl http://t.co/0pwaZdzmDt
lubokobslevrai	Ik zie niggas met kleine meids daten en shit hou op
WillardPeetoom	@NS_online zoals altijd #file bij de enige #kaartautomaat in #helmond #brandevoort http://t.co/PG57hSjYzA
petertossyn	@ZininZoet soms is het rechtvaardig om bepaalde afspraken niet na te komen. #7dag @RudiKennes
siessieh	I'm at Nieuwpoort Stad https://t.co/drRH6jCWfs
burozuyver	Weer #online. #top geregeld @joomblocks Thxs!
JVVBeveiliging	@Heleen1977 U bedankt voor het volgen.
gverhoek99	Come on boys #90 minuten lang voor onze club uit Amsterdam http://t.co/ZwPq8SJL5P
cassius1234568	@everydee je kan echt goed zingen kon ik dat maar .
FleurDries	“@maximme_v: maar snapte bijna elk meisje haat u omda gij constant bij hun vriendjes probeert” @StephanieFerra 😂😂😏
NellCocquyt	Internationale-frietjes-met-stoofvlees-dag 😋🍟 (@ Oma en opa) https://t.co/5opNKd2Je2
degymmeester	"Vandaag staan we stil bij hen die graag jarig hadden willen zijn maar op 29 februari geboren zijn." #schrikkelherdenking @menno_gorter
_ilaydaaax	@SamuelYPL BEL ME GEWOON
112_wkivud	Reeuwijk stroomloos. Gelukkig is het nog lang licht.
janke018	@SamuelYPL dan maak je mij echt blij met een follow :D #KCA #VoteBBrave #BraviourPower #KCA #VoteBBrave #BraviourPower #KCA #VoteBBrave
AleynaYPL	Straks naar Maasvlakte 2 {Alexiahaven} om dat enorme monster te bekijken :)
WilPreghter	Jullie zijn echt allemaal #geweldig ! 👍😃 http://t.co/vY03JKrwRV
TKnegtel	@KristinHelene @ArmandVervaeck @wbeke Vervolgens moeten de individuele verzoeken aan "De Raad van State"
SergioUdensio	Samen met @chanelvuden in een grijs verleden
Rovalo57	@msvdkl Natuurlijk niet, geen probleem!
NahimaLanjri	Discreet bevallen: een beter alternatief voor de vondelingenschuif is nodig - CD&V http://t.co/wG3a4wJ44m
HermansStien	Het geluid van de stofzuiger is zo fucking irritant
BeijkMaurice	Prachtig mooi verhaal.....Droom van overleden Lauren (11) komt uit dankzij vader http://t.co/ZoBwAzOY8s
LM_Ameland	Lastminute #Ameland appartement appt 3 | midweek ma 02/03-vr 06/03 140 Euro | http://t.co/kogLvWVfHz http://t.co/YdKzXXrtM3
MarijkeFJansen	@MiriamBruijst Mooie foto! Past geweldig bij #HetBoekVanTess! @Clavis_Books
LM_Ameland	Lastminute #Ameland vakantiehuis De Kolibrie | weekend vr 06/03-ma 09/03 180 Euro | http://t.co/ElqdSK8fkX http://t.co/METpj1OJcB
LM_Ameland	Lastminute #Ameland vakantiehuis In de Duinen | weekend vr 06/03-ma 09/03 190 Euro | http://t.co/riAzGniXRR http://t.co/pvKcbXtRiK
anouklknapper	IK BEN ER SKAKS
kusjesblerr_	@reinduif mij mag je ook wel retweeten #VoteMainStreet #KCA 😒
_lovingstar_	@Michaelsspidey ben er bijna!!!!
Max__011	@rvdh86 veel plezier man. Lekker potje
kusjesblerr_	@reinduif mij mag je ook wel retweeten #VoteMainStreet #KCA 😒😔
obsdevenen	Nos-journaal:"Stroomstoring in Reeuwijk". Vervelend voor de mensen die terugkeren van vakantie. Zou 't morgen gevolgen hebben voor onze ict?
johnelsevier	Torre Breda is mijn favoriete #grattacielo (wolkenkrabber) in Milaan en niet alleen omdat we t zelfde bouwjaar hebben http://t.co/0SapPhozlu
wdekonink	"In maart is de winter officieel voorbij." Ik dacht altijd dat het pas op 21 maart zover was? #allesmoetsneller
kusjesblerr_	@reinduif mij mag je ook wel retweeten #VoteMainStreet #KCA 😤
julie_muylle	Vowa ebn wij zelf een klasgroep, z'antwoordn toch nooit 😅
janke018	Het is vandaag complimentendag haha
kusjesblerr_	@reinduif mij mag je ook wel retweeten #VoteMainStreet #KCA 😡
RDepickere	Tyler op #dour2015 dit jaar da zou nice zijn ja
HermanWellens	De meeste Vlamingen zijn racistisch want zij vergelijken voortdurend tussen dit en dat.
kusjesblerr_	@reinduif mij mag je ook wel retweeten #VoteMainStreet #KCA 😰😪
ruudtw	@loisch gisteren dacht iemand het andersom. Ik stond in de PC. Voor z'n huis hahah.
Lorenz_Bosch	@____William_ omda ge erop zijt gevallen wanneer ge u schoen wou uittrappen #geendank
kusjesblerr_	@reinduif mij mag je ook wel retweeten #VoteMainStreet #KCA 🙇
dntrbmlqrstr	Mijn mentoren zijn zo attent! "Ga jij maar voorin zitten met die lange benen!" en ik maar standaard achter in willen stappen.
NatalieTK	@MarkPutten 's avonds een grote jongen... 😀
ruudtw	@Suuz_ ik wil!!!
kusjesblerr_	@reinduif mij mag je ook wel retweeten #VoteMainStreet #KCA 🙍
kusjesblerr_	@reinduif mij mag je ook wel retweeten #VoteMainStreet #KCA 😷
JVVBeveiliging	@vd_heiden U bedankt voor het volgen.
SjorsNijhuis	@TopEuropaSport @DemydeZeeuw frustratie van het gelijkspel van gisteren!
kogel1	@FCUpdate_nl onzin dat heeft hij niet zo gezegd
SergioUdensio	Samen met @chanelvuden in een grijs verleden! #vroeger http://t.co/BhJUHkGm1u
Wendelien	Gelukkig! Familie is weer compleet😄. Niet voor lang. Morgen J afleveren in het UMCU
kusjesblerr_	@reinduif mij mag je ook wel retweeten #VoteMainStreet #KCA 😒✋
Tuur2903	30 man voor mij #score #valtmee #cofidiscup #clubbrugge http://t.co/wXXOhaT8qT
BeemerSander	@Koning_NL 2, spiegel zaal louis, spiegel kamer voor mama, binnentuinen, 4 atriums met vijvers, loverslane garden met lovers slaapkamer bed
ecdebeurs	@Bjheijne: 'Men vertegenwoordigt niet het volk, men vertegenwoordigt elkaar.' Column @nrc: 'Revolte' http://t.co/oD2iN3PmIe"@AnnekeuitEelde
kusjesblerr_	@reinduif mij mag je ook wel retweeten #VoteMainStreet #KCA ✋✋
kusjesblerr_	@reinduif mij mag je ook wel retweeten #VoteMainStreet #KCA 😪✋
DuvinPoof	@lammert wauw.... ik dacht dat de mijne erg was. Stofzuigen.
janke018	#KCA #VoteBBrave #BraviourPower #KCA #VoteBBrave @KAJVANDERVOORT @JWMUSICOFFICIAL @officialdioni @CasszRon @SamuelYPL mag ik een follow? :D
michiemich_	@markybymarc @WeDidIt dat wordt bestellen binnenkort 😁
Idefix_2009	@Gerda_Groenenda ik weet niet wat voor mannen jij kent Maar ik kan alles
kusjesblerr_	@reinduif mij mag je ook wel retweeten #VoteMainStreet #KCA 😠
SusanneSouren	@712sasje Sterkte! Was het iemand die jij vaak verzorgt hebt?
LadanFarahx	ALS ENZO MIJ GAAT BELLEN OP MIJN B DAN BEN IK DOOD😭❤
b1gcheese	@JVZ5As wanneer ga je die kant op? Of ben je daar al?
TulineLoosveld	Stuur keer 😔
RamonKolk	@martijnblonk100 veel plezier👍
jente	80km gewindfietst. of is het windgefietst?
lubokobslevrai	Zovan die mensen die je volgt en die je DIRECT terugvolgen >>>>>>
lianaroskam	Laat mie ke al stil in de ochtend
henknijhof	@JacqKleinpaste @verrukkulluk Als 62 jarige pleit ik voor 80+.......
reinsdonutx	@JonkoParrick Je bent gewoon jaloers
sabien76	@Suus_Esmeijer @dehallenadam @DuCapAmsterdam Ah gezellig!!
teunissen67	Het valt niet mee na de vakantie. Een heel rustig duurloopje van 6 km #zwaar #windtegen #regen, echter geen excuus :-)
_ilaydaaax	Wejow wtf bbrave's adres en allemaal staat op internet
WendyvanHaaren	Eindhoven: Silicon Valley van het zuiden #venture #venture http://t.co/kRMryfKky6 http://t.co/2LcryPyAC7
dezaakdesign	@roosschlikker staan op handen en....
_ilaydaaax	Omg, echt triest
Pinooj	En nu ist allemaal om zeep. Ze denken nu allemaal da kik den slechten ben. Kebt begrepen
StaelensFemke	Gmoe nie zo smerig kijkn wi gij
onrespectvol	@parkwaypiemels hoe kan je met een open deur slapen dat is echt een kut gevoel
MeteoKrommenie	@schrikelkind van de week even kijken voor die vlucht wat ik je liet zien
Hjalmar_Bakker	Vandaag keiharde #koers windkracht 5 lekkere training en geen #genade 😜 @ Le Quartier Generale Gameren https://t.co/zn4vAWVfqF
KlaasSars	“@Rili2013: #Schokkend Het houdt Niet op.....Niet vanzelf...... http://t.co/CiAHj4EI16” Doe mij maar een leuk 18+ setje...
_ilaydaaax	@SamuelYPL @KAJVANDERVOORT @officialdioni @JWMUSICOFFICIAL @CasszRon Lieve schatjes, besef even dat jullie adres op internet staat
sikko105	Oh oh we doen alweer. ☺️☺️ http://t.co/QgSmYyV6gw
lissa_pauwels	Hahahahahahaha altijd grappig als sofie midden van de nacht begint te praten in haar slaap hahahahahaha
geenwietpas	Vergeet wat je weet. Indica is eigenlijk afghanica, sativa is indica en ruderalis is sativa http://t.co/fZaYLBjHyw
SusanneSouren	@712sasje Dat is dan extra erg inderdaad! En dankjewel!
nikitavd40	@WaterdrinkerP heb hem 1keer ontmoet. Hij wist altijd al dat de dag zou komen dat hij werd omgebracht.
davienneijens	Die kutmelding blijft daar de hele dag mijn ogen uitsteken #help http://t.co/1bQX8ywwrj
CityFashionTV	2sport heeft nieuwe collectiefoto's http://t.co/cGNk6Vs3JM #cityfashion
valentin_mahieu	haha gie zeker 😂
papajurgen	Mmm lekker. Vandaag is het in België stoofvlees & friet dag. Vol deze snack en wat onze zuiderburen er over zeggen via #stoofvleesfriet."
claudialoveyoux	Dat was een mooi weekje! 🎿 @ valfréjus https://t.co/REH4X4h1Y1
hofvaneckberge	@eppink_k beste mevrouw Eppink, er komt iemand bij u aan tafel om u te helpen. Er zijn nl veel stopcontacten bij ons zodat u kunt werken
lebbe1	@aavenselaar En veel plezier straks bij Celtic - Aberdeen
FredIJpma	Bijzonder. Zo veel hallen en maar 1 handbalwedstrijd hier vandaag. (@ Sporthallen Zuid in Amsterdam, Noord Holland) https://t.co/MavCK2vWNv
_VitalDenduyver	@Emelie_MarProot twas meer dan geslaagd!
smittiewout	@Lippileandros zal er om denken Lars, maar kan het afkruipen naar de camper 😜
michelknobbe	Lekkere serie 200m @Xx_Hann @avdaventria dik PR. 1e keer onder de 26 in 25.72!!!
DeBataven	Bataven 2 volgt het goede voorbeeld van het 1e en wint ook met 2-0 van RKHVV.
Specialitaart	Wij ruimen vandaag het magazijn op! Wat doen jullie zoal op deze prachtige zondag? @ Specialitaart https://t.co/gh7QJsRooZ
plestik	@shmuraya thanks nee hier zitten een paar goede tussen (gaat me vooral om white consumption v black music)
WoahSylvana	@weijers_bart je bent een perfecte vriendje, omg
rubyhllgrs	@CorienDeMagier ik stalkte ff je foto's, maar zij is dit niet.. Haar foto wordt gebruikt, echt helemaal kut voor haar
namratavsaxena	Het is heel mooi home..!!!😍 see ya India..!!!
TKnegtel	@marcdehond2 @bdlumey Marc, daar moet je wel een visum voor hebben hoor !
Lien193Jvv	@DieterSpileers net heerlijk een uur met de hond wezen lopen!En vanavond is t weer tijd om jou en je collega's te zien stralen op de planken
_ilaydaaax	Wejow deze mensen schenden hun privacy echt dood nu
LisanneSchol	Net super lekkere speertraining gedaan met @MiniKleij voordat ik morgen naar Monte Gordo ga:)
AndyB_46	Van Halen - Jump: #Sunday #FunDay http://t.co/UnNedwhuFK :)
BeemerSander	@Koning_NL ,2, bed is 9.5m'2, voor mijn ouders buitenlounge met zwembad 3x9mtr, sauna +watervaldouche, prive eetkamer, kleedcabines, salle
WoodyFunDiver	Tiens, nergens geen stoofvlees en Abt 12 meer, hoe zou dat komen? ;-) #NationaleStoofvleesdag
Cascarvieten	De Cascarvieten, van alle markten thuis! #sportgala http://t.co/aQtAZ4jMgr
cassius1234568	@officialdioni ken je me pleazz volgen Ik hoop het echt
Kocakbahattin	'Hoe werkt politiek?', lezing v Noël Slangen met 40 tal aanwezigen op brunch van @beltud_info en @EpnLimburg http://t.co/h9j37CSIsB
tjerkridder	Prachtig trekpaarden evenement gisteren! “@Transcendonder: 150 Zeeuwse knollen op Straô in Noordwelle: http://t.co/BhUTSBtmCv via @YouTube”
manonvh	@JumboSupermarkt bedankt voor je berichtje! Mag dat ook met die foto? Want ik heb het product uiteraard al weggegooid 😁
KaatEcran	Ergens vind ik het echt rot da wij geen contact meer hebben
ROAC_3	50. TORRRRR!! Daar is de 3-1!!! De voorzet van Wils wordt binnen gekopt door Cheese Green!! #nieROA
Nijen502	Levensverwachting, het geweldniveau, scholingsgraad en ongelijkheid binnen een samenleving echte indicatoren welvaart http://t.co/0Y2NxrNDGE
_ilaydaaax	@SamuelYPL Lieve schat, jullie adres enzo staat bloot op internet
vostog	@Gerritprocom Nee daar zat ik niet bij. Ben ik te oud voor ;)
IvoHVNL	Bart Hissink is ambassadeur van de campagne 'Cannabis? Aangenaam!'. Ze strijden voor legalisatie van #cannabis. #hvnl http://t.co/syugdbAE99
Rik3080	@SasVN Een blik op uw TL volstaat om me ernstig te doen twijfelen aan de degelijkheid van uw oordeel. Val dus gerust verder van uw stoel.
brittvanakelyen	lol da waarde gij dus
nikita_coen	'Is de toets al verbeterd?' ''Neen ik was ziek'', huhhh ja ma wij moeten de dag na wij ziek zijn geweest wel 1000 testen inhalen hé
EmilyCleempoel	Uw moeder die uw eigen facebook account hackt, oke normaal
witte2013pbbo	#PBBO #nosjournaal Prima dat er beter vliegtuig volgsysteem komt. Kan in toekomst ongelukken voorkomen. Verkeersleiding kan beter adviseren.
SwaFr	Alweer een prachtig project in wording..! Te Eke thx voor het vertrouwen fam. N. http://t.co/aa5eSvzu80
louise_hof	Denisha is vandaag jarig ja dus hou op met je stomme Justin het gaat om @denishakrikke
I_Stayfor1D	Een gelukkige verjaardag aan de geweldige koffieman @ItsSombrero :D maak er een mooie dag van!
simoneskitchen	Jaaaa!!! Bijna lunchtijd met die heerlijke humus van Greendelicious. #foodphotography #workshop @ de… https://t.co/be75tRmVNH
NigelLord_	RT @433PSV: De 7.6 miljoen 'fans' van Ajax hebben het uitvak niet eens vol gekregen. Oké. >Krijgen jullie wel een uitvak in Rusland vol dan?
JasperHuijben	@johan_emmens tuurlijk is het bühne politiek dat kun je beste bestrijden met feiten laat vergunning zien haal wethouder erbij @FrancaDamen
Telangelinknaam	Sorry maar we maken texel echt belachelijk
_ilaydaaax	Wejow echt schande dit
RaoulBoucke	Mijn oude studentenstad heeft een nieuw station #vooruitgang #Delft http://t.co/cBmMKwPUlR
Dellebarre	RTV Noord: Met bakfiets vol Groninger klei naar gasdebat http://t.co/ZVapRscokk
Telangelinknaam	Ik ga echt kapot om lyon
JanssenPH	@demiswassink klopt! Vanmorgen bijeenkomst van de #FNV Belastinghulp #Hengelo voor start invulperiode helaas hetzelfde probleem. #fail
_ilaydaaax	Nu weet Ik ook weer waar Cassius woont
HermanWellens	Een belangrijk deel van de samenleving evolueert stilaan naar een super-communisme.< iedereen goesting doen en geld uitdelen>
GeoffreyDeMey	Ik vraag me af wanneer @nmbs zijn reisinfo ook beschikbaar is op Google maps...
cassius1234568	@JWMUSICOFFICIAL Follow my kan je nog 1 follow aan mij geven
CairoVree	Zondag is bij mij poets- & prepdag. Wat doe jij op zondag?
DanielleWiering	Zin in! ANWB - Kom naar de ANWB Lentedagen http://t.co/lX540b95uG
mellekielstra	@sylviawitteman mooi....nostalgie
weyerwin	Tommelein heeft fraude met Oost-Europese bouwvakkers in vizier - HLN.be - http://t.co/lPg3D4hjkH
RobinWyckmans	Gy moet ni meer afkome ✋
SvVasse	Sv Vasse 3 wint met 2-1 van @detukkers 7 en Vasse 4 speelt met 0-0 gelijk tegen @VCFleringen 3
_ilaydaaax	@JWMUSICOFFICIAL Jai, jou adres staat bloot open op internet he?!
onlinetilburg	Tilburg - Mini Cooper gestolen: Zaterdagnacht 28 februari op zondagmorgen 1 maart tussen 23.00 en 09.00 uur is... http://t.co/OrxrCMM9HX
TilburginBeeld	#politietilburg Tilburg - Twee verdachten aangehouden na beroven jongeman: Een 18-jarige jonge... http://t.co/Z21BUqCA5G #tilburginbeeld
TilburginBeeld	#politietilburg Tilburg - Mini Cooper gestolen: Zaterdagnacht 28 februari op zondagmorgen 1 ma... http://t.co/Xre8ibcQ6M #tilburginbeeld
WoahSylvana	@weijers_bart wanneer word je 15 ? 😏
Leroyisfancy	lekker geupdate hoor...@KAJVANDERVOORT #VoteBBrave #KCA http://t.co/RwXSMvchzO
vandervoortje_	@SamuelYPL hee jij!! Lekkerding!! Volg me is💋
Nils0reo_	Als je me gaat volgen, stem ik nog 1000 keer 🌹💟🌟 | http://t.co/v3HYkUneqL #KCA #voteMainStreet | @reinduif 61
BeemerSander	@Koning_NL 2, loggia 12 mtr, de tuinen aan grenzen naar de galerijen +trappen, 2 trappen voor show om iets van boven af te kijken, bewaking
daanskoekje	Uugh dinsdag komt sims pas binnen
lenie_lap	Top, @FairtradeNL koekjes bij @etenlauwersoog ! @FairFredrik @heinjoustra @Yv_Hiemstra #moeitewaard! http://t.co/VW27u3G0Ur
arjanreininga	Ook weer een tijdje wakker, na een TOP avondje / nachtje te hebben gehad! Nu maar even snel gaan ontbijten, douchen en klaarmaken!
Nils0reo_	Als je me gaat volgen, stem ik nog 1000 keer 🌹💟🌟 | http://t.co/v3HYkUneqL #KCA #voteMainStreet | @reinduif 62
Thomasz91	@Rvandijk92 Dus dat! De mijne zei ga jij maar werken. Paar jaar geleden toch MBO niveau 4 goed gehaald, misschien nog verder...
HolsteijnVan	@HenkNieuws heerlijk he, onze zonneaanbidster heeft zich ook geïnstalleerd http://t.co/Qy0JQhUIRc
_ilaydaaax	Oh, staat dat er al lang?
oeki_s	@nanda1977 haha bij Clash of Clans moet ik je aanvallen. http://t.co/pIVWcDuPBZ
NigelLord_	@marien0184_ @433PSV Daarom juist. Ze krijgen een uitvak daar niet eens voor 20% vol. En dan komt hij dit zeggen. 😂😂😂
rubyhllgrs	Idk 'bout you maar ik ga verder met mn leven en laat bbrave achter mij
